application_date|Eightmile Zone|Stuart Zone|Colchuck Zone|Core Enchantment Zone|Snow Zone
05-14, Wed|100.0|25.0|5.9|10.0|30.0
05-15, Thu|50.0|33.3|18.2|13.5|50.0
05-16, Fri|33.3|21.4|5.1|4.5|16.7
05-17, Sat|20.0|12.0|4.8|4.0|26.7
05-18, Sun|100.0|100.0|25.0|16.7|62.5
05-19, Mon|100.0|80.0|20.0|21.2|83.3
05-20, Tue|100.0|75.0|22.2|10.0|75.0
05-21, Wed|66.7|50.0|15.4|11.4|100.0
05-22, Thu|66.7|21.4|11.1|7.3|36.4
05-23, Fri|28.6|9.4|2.9|3.2|8.5
05-24, Sat|10.5|6.8|2.4|2.1|14.3
05-25, Sun|100.0|30.8|10.3|7.7|21.7
05-26, Mon|33.3|50.0|27.3|14.0|66.7
05-27, Tue|100.0|42.9|16.7|9.3|36.4
05-28, Wed|50.0|60.0|11.8|10.2|30.8
05-29, Thu|28.6|33.3|9.1|6.4|28.6
05-30, Fri|14.3|13.6|2.4|2.4|8.5
05-31, Sat|16.7|9.1|2.9|1.8|12.9
06-01, Sun|75.0|26.7|14.3|8.6|38.5
06-02, Mon|50.0|30.8|10.3|6.5|33.3
06-03, Tue|66.7|50.0|10.0|3.9|44.4
06-04, Wed|20.0|42.9|9.5|2.2|16.0
06-05, Thu|25.0|15.8|3.9|3.7|13.3
06-06, Fri|12.5|9.4|2.3|1.6|8.3
06-07, Sat|15.4|9.7|2.2|2.0|7.8
06-08, Sun|50.0|22.2|5.9|3.9|14.3
06-09, Mon|42.9|20.0|6.0|4.4|13.5
06-10, Tue|100.0|20.0|5.1|4.9|13.3
06-11, Wed|28.6|15.0|4.7|2.2|16.0
06-12, Thu|40.0|8.3|4.1|1.9|13.3
06-13, Fri|8.0|5.7|1.6|0.9|6.2
06-14, Sat|7.7|6.0|1.7|1.8|9.8
06-15, Sun|30.0|17.4|4.7|3.3|7.9
06-16, Mon|18.8|13.8|3.7|3.5|18.5
06-17, Tue|28.6|9.4|2.8|1.5|10.3
06-18, Wed|28.6|8.6|2.5|1.5|10.0
06-19, Thu|10.5|6.7|2.1|1.4|5.8
06-20, Fri|11.1|4.6|1.1|0.9|4.5
06-21, Sat|10.0|5.0|1.5|0.7|6.9
06-22, Sun|27.3|11.1|3.4|2.0|6.9
06-23, Mon|16.7|8.3|2.9|1.8|8.5
06-24, Tue|28.6|6.8|2.2|1.0|5.9
06-25, Wed|16.7|9.4|1.8|0.9|5.3
06-26, Thu|8.0|8.8|1.6|0.7|6.8
06-27, Fri|5.6|4.5|0.9|0.7|4.0
06-28, Sat|11.1|4.4|1.3|1.2|5.5
06-29, Sun|37.5|7.1|3.2|2.3|3.7
06-30, Mon|15.0|7.5|2.5|1.3|5.7
07-01, Tue|22.2|12.0|3.1|1.8|8.5
07-02, Wed|25.0|7.7|2.1|0.6|5.3
07-03, Thu|5.9|3.8|1.0|0.4|2.9
07-04, Fri|8.0|3.8|1.0|0.8|5.1
07-05, Sat|9.1|5.3|1.4|0.5|8.9
07-06, Sun|23.1|10.8|3.4|1.5|6.7
07-07, Mon|23.1|8.2|2.0|1.2|6.4
07-08, Tue|14.3|7.7|1.7|1.1|4.9
07-09, Wed|25.0|10.0|1.7|1.0|5.6
07-10, Thu|8.3|3.2|1.1|0.6|3.2
07-11, Fri|4.8|2.5|0.7|0.5|2.7
07-12, Sat|5.3|3.3|0.8|0.5|4.3
07-13, Sun|15.0|9.3|2.5|1.1|4.9
07-14, Mon|10.7|5.6|1.7|1.0|4.0
07-15, Tue|11.1|5.2|1.3|0.9|3.9
07-16, Wed|14.3|4.6|1.2|0.6|3.6
07-17, Thu|5.7|3.2|0.8|0.5|3.1
07-18, Fri|3.8|2.0|0.5|0.3|2.2
07-19, Sat|5.3|2.7|0.7|0.4|3.0
07-20, Sun|13.0|8.0|2.0|1.0|4.2
07-21, Mon|9.7|5.1|1.4|0.7|3.8
07-22, Tue|11.8|4.5|1.1|1.0|2.6
07-23, Wed|5.9|4.1|1.0|0.5|2.9
07-24, Thu|4.3|3.1|0.7|0.4|2.5
07-25, Fri|2.6|1.8|0.5|0.2|2.0
07-26, Sat|4.7|2.6|0.8|0.4|2.6
07-27, Sun|12.5|5.1|1.9|0.8|3.6
07-28, Mon|12.0|6.3|1.4|1.0|3.7
07-29, Tue|16.7|6.1|1.5|0.8|3.7
07-30, Wed|10.5|6.2|1.1|0.6|3.1
07-31, Thu|4.3|2.1|0.6|0.3|2.0
08-01, Fri|3.5|2.3|0.6|0.2|1.9
08-02, Sat|7.1|2.7|0.7|0.3|3.1
08-03, Sun|10.0|7.4|1.9|0.9|4.4
08-04, Mon|10.0|4.5|1.2|0.6|3.0
08-05, Tue|13.3|4.8|1.1|0.5|3.1
08-06, Wed|14.3|5.7|1.1|0.6|3.4
08-07, Thu|6.7|3.2|0.9|0.3|2.2
08-08, Fri|3.9|2.2|0.6|0.3|2.1
08-09, Sat|4.5|2.8|0.8|0.3|2.9
08-10, Sun|9.4|6.1|1.9|0.6|3.6
08-11, Mon|7.5|4.0|1.6|0.9|3.0
08-12, Tue|7.7|4.1|1.1|0.7|3.0
08-13, Wed|6.9|3.9|1.2|0.3|3.2
08-14, Thu|5.4|2.5|0.8|0.5|2.7
08-15, Fri|3.4|2.1|0.6|0.4|2.2
08-16, Sat|5.1|2.8|0.8|0.2|3.1
08-17, Sun|13.0|6.1|1.8|1.0|3.4
08-18, Mon|11.1|4.4|1.5|0.8|3.3
08-19, Tue|7.1|3.9|1.0|0.5|3.6
08-20, Wed|10.0|4.7|1.4|0.7|2.9
08-21, Thu|5.4|2.9|0.8|0.2|2.6
08-22, Fri|4.3|2.5|0.7|0.3|2.7
08-23, Sat|6.9|3.2|1.0|0.5|3.8
08-24, Sun|9.1|7.7|2.0|1.1|4.3
08-25, Mon|16.7|6.2|2.0|0.6|4.1
08-26, Tue|16.7|6.5|2.4|0.8|4.0
08-27, Wed|16.7|5.9|1.6|0.6|4.0
08-28, Thu|7.4|4.3|1.0|0.5|3.1
08-29, Fri|5.0|2.4|0.7|0.5|2.9
08-30, Sat|5.3|2.1|0.9|0.5|2.8
08-31, Sun|21.4|9.5|2.7|1.4|6.7
09-01, Mon|33.3|10.3|3.5|1.9|10.0
09-02, Tue|14.3|9.4|2.3|0.9|4.5
09-03, Wed|13.3|8.3|1.9|0.7|5.3
09-04, Thu|10.5|3.8|1.4|0.7|3.1
09-05, Fri|5.7|2.7|1.0|0.4|2.5
09-06, Sat|9.1|4.3|1.3|0.8|4.3
09-07, Sun|8.6|8.3|2.3|1.0|4.1
09-08, Mon|11.5|6.9|2.1|0.9|4.5
09-09, Tue|13.3|5.7|1.3|0.8|3.1
09-10, Wed|18.2|6.5|1.6|0.8|3.2
09-11, Thu|10.5|4.2|1.0|0.6|3.5
09-12, Fri|4.1|2.7|0.8|0.4|2.6
09-13, Sat|8.3|3.4|1.2|0.8|4.3
09-14, Sun|23.1|6.9|2.7|1.0|4.2
09-15, Mon|23.1|6.8|2.5|1.3|5.2
09-16, Tue|10.5|9.4|2.4|1.0|4.9
09-17, Wed|14.3|9.7|1.9|0.6|3.8
09-18, Thu|10.5|4.8|1.5|0.7|4.0
09-19, Fri|6.2|5.4|1.2|0.4|3.3
09-20, Sat|16.7|4.7|2.0|0.8|4.4
09-21, Sun|21.4|12.5|3.7|1.5|5.9
09-22, Mon|50.0|13.8|4.4|1.1|8.3
09-23, Tue|40.0|11.5|2.8|0.7|7.5
09-24, Wed|25.0|12.5|2.6|1.1|5.3
09-25, Thu|22.2|5.2|1.6|0.3|4.8
09-26, Fri|8.7|3.8|1.4|0.8|4.9
09-27, Sat|18.2|5.4|1.8|0.9|7.8
09-28, Sun|33.3|15.4|4.2|2.4|5.5
09-29, Mon|30.0|22.2|5.2|1.8|14.3
09-30, Tue|22.2|8.6|2.3|1.0|7.7
10-01, Wed|50.0|16.7|3.1|1.1|5.8
10-02, Thu|15.4|7.3|2.4|1.0|5.9
10-03, Fri|7.7|3.9|1.7|0.5|5.3
10-04, Sat|15.4|7.7|2.3|0.7|8.2
10-05, Sun|33.3|13.3|5.6|1.5|7.4
10-06, Mon|75.0|17.4|6.2|3.1|20.8
10-07, Tue|33.3|27.3|7.1|1.2|28.6
10-08, Wed|100.0|23.1|7.1|2.2|12.1
10-09, Thu|22.2|18.8|5.7|1.5|10.8
10-10, Fri|9.1|7.9|2.9|1.2|7.0
10-11, Sat|25.0|12.5|3.6|2.0|9.8
10-12, Sun|42.9|30.8|8.6|3.3|14.7
10-13, Mon|60.0|36.4|20.0|5.4|45.5
10-14, Tue|100.0|66.7|9.5|5.5|40.0
10-15, Wed|100.0|42.9|11.8|6.9|57.1
10-16, Thu|40.0|50.0|11.8|4.5|36.4
10-17, Fri|40.0|30.0|13.3|5.8|28.6
10-18, Sat|0.0|37.5|22.2|4.7|40.0
10-19, Sun|50.0|50.0|33.3|13.3|50.0
10-20, Mon|100.0|100.0|66.7|35.0|80.0
10-21, Tue|100.0|100.0|28.6|22.2|50.0
10-22, Wed|0.0|66.7|40.0|23.5|100.0
10-23, Thu|100.0|50.0|100.0|16.0|0.0
10-24, Fri|100.0|0.0|66.7|11.4|66.7
10-25, Sat|100.0|0.0|50.0|16.0|100.0
10-26, Sun|0.0|100.0|66.7|66.7|100.0
10-27, Mon|0.0|66.7|66.7|71.4|50.0
10-28, Tue|100.0|100.0|100.0|100.0|0.0
10-29, Wed|0.0|100.0|0.0|50.0|0.0
10-30, Thu|0.0|100.0|100.0|66.7|0.0
